Computed PF file: mls-eval-d200-c15/mls-eval-d200-c15
Num. executions : 20
Min. coverage   : 15.0

Computed PF [count=910]
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
72.2490 35.0000 3.6000
21.7361 16.6000 0.4000
18.5805 15.2000 0.2000
50.0418 27.6000 2.2000
135.2360 46.6000 7.6000
116.3540 45.4000 6.4000
59.5825 34.2000 2.8000
77.8929 37.2000 4.0000
100.4280 44.0000 5.4000
140.8270 47.8000 8.0000
72.6065 35.8000 3.6000
28.4063 19.0000 0.8000
72.2523 35.4000 3.6000
40.4834 24.6000 1.6000
122.7010 46.0000 6.8000
137.9590 47.6000 7.8000
146.7810 48.4000 8.4000
69.1358 34.6000 3.4000
31.3096 20.8000 1.0000
59.9384 34.4000 2.8000
141.5140 48.0000 8.0000
37.2390 21.6000 1.4000
37.5259 23.0000 1.4000
56.1476 32.4000 2.6000
84.5902 38.2000 4.4000
110.0520 44.8000 6.0000
69.6065 34.8000 3.4000
37.2606 22.0000 1.4000
28.0911 18.2000 0.8000
50.8073 28.2000 2.2000
56.1115 31.0000 2.6000
44.2022 26.6000 1.8000
91.3974 39.8000 4.8000
43.6441 25.8000 1.8000
94.3508 41.8000 5.0000
34.7760 21.4000 1.2000
167.6390 49.0000 9.8000
87.8499 38.8000 4.6000
50.9002 28.4000 2.2000
43.5243 25.2000 1.8000
100.3250 42.0000 5.4000
100.3570 43.8000 5.4000
110.1620 45.0000 6.0000
110.2470 45.0000 6.0000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
21.7361 16.6000 0.4000
97.1194 43.2000 5.2000
100.3390 43.8000 5.4000
137.0070 46.6000 7.8000
40.4560 23.2000 1.6000
113.7030 46.2000 6.2000
84.6918 38.0000 4.4000
59.3370 32.6000 2.8000
76.0115 37.0000 3.8000
56.1115 31.0000 2.6000
59.5825 34.2000 2.8000
94.3343 41.2000 5.0000
28.0911 18.2000 0.8000
46.7704 27.2000 2.0000
18.5805 15.2000 0.2000
156.2430 48.8000 9.0000
91.4733 40.0000 4.8000
72.3016 35.4000 3.6000
37.5259 23.0000 1.4000
100.4280 44.0000 5.4000
50.9002 28.4000 2.2000
44.1885 26.6000 1.8000
34.7760 21.4000 1.2000
69.1358 34.6000 3.4000
40.4834 24.6000 1.6000
56.1444 32.4000 2.6000
43.6532 25.8000 1.8000
141.5140 48.0000 8.0000
28.4063 19.0000 0.8000
47.4403 27.8000 2.0000
77.8929 37.6000 4.0000
84.7847 38.2000 4.4000
37.2390 21.6000 1.4000
72.2490 35.0000 3.6000
50.8073 28.2000 2.2000
69.6065 34.8000 3.4000
59.9246 34.4000 2.8000
138.4920 47.8000 7.8000
43.5871 24.8000 1.8000
84.9780 38.6000 4.4000
75.9186 36.8000 3.8000
107.0020 44.8000 5.8000
177.0070 49.0000 10.4000
147.6850 48.4000 8.4000
31.3096 20.8000 1.0000
23.5716 17.2000 0.5000
128.4220 46.6000 7.2000
51.7690 30.8000 2.3000
21.7361 16.6000 0.4000
103.9620 44.6000 5.6000
18.5805 15.2000 0.2000
50.0471 27.6000 2.2000
50.0446 26.8000 2.2000
59.5825 34.2000 2.8000
69.1358 34.6000 3.4000
94.3725 41.6000 5.0000
50.5803 27.8000 2.2000
56.1562 32.4000 2.6000
40.4924 24.6000 1.6000
91.5188 39.8000 4.8000
148.1050 48.8000 8.4000
40.2933 23.6000 1.6000
31.3096 20.8000 1.0000
119.9580 46.4000 6.6000
137.4470 46.8000 7.8000
85.0591 38.6000 4.4000
91.7172 40.0000 4.8000
167.9930 49.0000 9.8000
34.7339 21.4000 1.2000
37.5259 23.0000 1.4000
28.0911 18.2000 0.8000
56.1115 31.0000 2.6000
43.6532 25.8000 1.8000
69.7759 36.4000 3.4000
94.4336 41.8000 5.0000
37.1752 21.6000 1.4000
62.8864 34.4000 3.0000
144.5810 47.8000 8.2000
44.2022 26.6000 1.8000
50.8073 28.2000 2.2000
28.4063 19.0000 0.8000
110.6460 45.8000 6.0000
147.8710 48.4000 8.4000
40.3295 24.4000 1.6000
97.7287 43.2000 5.2000
100.3870 43.8000 5.4000
143.9760 47.4000 8.2000
