[INFO] Cantidad de iteraciones 1000000.
[INFO] Number of threads 2.
[INFO] === Initializing Billion GA ====================
[INFO] Problem size    : 1048576
[INFO] Population size : 1024
[INFO] Num. of vectors : 2
[INFO] Delta           : 1
[INFO] Prob. min. value: 1
[INFO] Prob. max. value: 1024
[INFO] Requesting a size 2 prob_vector_size CPU memory
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting CPU memory for sample 0 vectors array
[INFO] > Requesting CPU memory for sample 1 vectors array
[INFO] Requesting samples_fitness CPU memory (size: 2)
[INFO] === Solicitando memoria para el thread 1 =====
[INFO] > Requesting 524288 bits GPU memory for prob_vector 1 (size: 524288 / 2 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 1 (size: 16384 / 0 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 1 (size: 16384 / 0 Mb)
iter,f1,f2,avg f1 f2
[INFO] === Solicitando memoria para el thread 0 =====
[INFO] > Requesting 524288 bits GPU memory for prob_vector 0 (size: 524288 / 2 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 0 (size: 16384 / 0 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 0 (size: 16384 / 0 Mb)
iter,f1,f2,avg f1 f2
0,0,0,0.0000,0.0000
10000,265583,266236,265909.5000,25967.7246
20000,269948,269703,269825.5000,26350.1465
30000,273684,273694,273689.0000,26727.4414
40000,276938,276836,276887.0000,27039.7461
50000,280291,279810,280050.5000,27348.6816
60000,283479,284535,284007.0000,27735.0586
70000,287303,286541,286922.0000,28019.7266
80000,290217,291409,290813.0000,28399.7070
90000,294519,294122,294320.5000,28742.2363
100000,297598,297927,297762.5000,29078.3691
110000,301029,301077,301053.0000,29399.7070
120000,304471,304181,304326.0000,29719.3359
130000,307017,307536,307276.5000,30007.4707
140000,311096,310658,310877.0000,30359.0820
150000,314062,314728,314395.0000,30702.6367
160000,317451,317125,317288.0000,30985.1562
170000,320727,320293,320510.0000,31299.8047
180000,323995,323249,323622.0000,31603.7109
190000,326240,326474,326357.0000,31870.8008
200000,329250,329692,329471.0000,32174.9023
210000,332552,332478,332515.0000,32472.1680
220000,335233,335540,335386.5000,32752.5879
230000,338862,338834,338848.0000,33090.6250
240000,341362,341856,341609.0000,33360.2539
250000,344084,344041,344062.5000,33599.8516
260000,347203,347507,347355.0000,33921.3867
270000,350227,349916,350071.5000,34186.6719
280000,352601,352551,352576.0000,34431.2500
290000,355471,355352,355411.5000,34708.1562
300000,357983,357804,357893.5000,34950.5391
310000,361064,360615,360839.5000,35238.2344
320000,363420,363574,363497.0000,35497.7539
330000,366092,366075,366083.5000,35750.3438
340000,368436,368338,368387.0000,35975.2930
350000,371223,371073,371148.0000,36244.9219
360000,373572,373302,373437.0000,36468.4570
370000,376072,376104,376088.0000,36727.3438
380000,378572,378855,378713.5000,36983.7422
390000,381094,380863,380978.5000,37204.9297
400000,383365,383841,383603.0000,37461.2305
410000,385200,385456,385328.0000,37629.6875
420000,387994,388242,388118.0000,37902.1484
430000,390436,390335,390385.5000,38123.5859
440000,392771,392529,392650.0000,38344.7266
450000,394713,394711,394712.0000,38546.0938
460000,397130,396854,396992.0000,38768.7500
470000,399372,399236,399304.0000,38994.5312
480000,401120,400710,400915.0000,39151.8555
490000,403223,403373,403298.0000,39384.5703
500000,405492,405622,405557.0000,39605.1758
510000,407723,407505,407614.0000,39806.0547
520000,409607,409574,409590.5000,39999.0703
530000,411523,411496,411509.5000,40186.4766
540000,413192,413541,413366.5000,40367.8203
550000,415325,415536,415430.5000,40569.3828
560000,417436,417350,417393.0000,40761.0352
570000,419197,419212,419204.5000,40937.9375
580000,421385,421533,421459.0000,41158.1055
590000,422688,422674,422681.0000,41277.4414
600000,424870,424333,424601.5000,41464.9922
610000,426612,426596,426604.0000,41660.5469
620000,428024,428003,428013.5000,41798.1953
630000,430207,430289,430248.0000,42016.4062
640000,431721,431925,431823.0000,42170.2148
650000,433383,433488,433435.5000,42327.6875
660000,435058,434930,434994.0000,42479.8828
670000,436668,436226,436447.0000,42621.7773
680000,438205,438410,438307.5000,42803.4688
690000,439978,439923,439950.5000,42963.9141
700000,441347,441287,441317.0000,43097.3633
710000,443009,443100,443054.5000,43267.0391
720000,444432,444344,444388.0000,43397.2656
730000,446120,445937,446028.5000,43557.4688
740000,447378,447233,447305.5000,43682.1797
750000,448743,448734,448738.5000,43822.1172
760000,449950,450128,450039.0000,43949.1211
770000,451542,451574,451558.0000,44097.4609
780000,453036,452996,453016.0000,44239.8438
790000,454181,454318,454249.5000,44360.3047
800000,455507,455429,455468.0000,44479.2969
810000,456933,457092,457012.5000,44630.1250
820000,458341,458009,458175.0000,44743.6523
830000,459394,459279,459336.5000,44857.0781
840000,460726,460617,460671.5000,44987.4531
850000,461956,461750,461853.0000,45102.8320
860000,463173,463036,463104.5000,45225.0469
870000,464172,464329,464250.5000,45336.9609
880000,465084,465359,465221.5000,45431.7891
890000,466403,466533,466468.0000,45553.5156
900000,467434,467530,467482.0000,45652.5391
