[INFO] Cantidad de iteraciones 1000000.
[INFO] Number of threads 2.
[INFO] === Initializing Billion GA ====================
[INFO] Problem size    : 1048576
[INFO] Population size : 1024
[INFO] Num. of vectors : 2
[INFO] Delta           : 1
[INFO] Prob. min. value: 1
[INFO] Prob. max. value: 1024
[INFO] Requesting a size 2 prob_vector_size CPU memory
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting CPU memory for sample 0 vectors array
[INFO] > Requesting CPU memory for sample 1 vectors array
[INFO] Requesting samples_fitness CPU memory (size: 2)
[INFO] === Solicitando memoria para el thread 1 =====
[INFO] > Requesting 524288 bits GPU memory for prob_vector 1 (size: 524288 / 2 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 1 (size: 16384 / 0 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 1 (size: 16384 / 0 Mb)
iter,f1,f2,avg f1 f2
[INFO] === Solicitando memoria para el thread 0 =====
[INFO] > Requesting 524288 bits GPU memory for prob_vector 0 (size: 524288 / 2 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 0 (size: 16384 / 0 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 0 (size: 16384 / 0 Mb)
iter,f1,f2,avg f1 f2
0,0,0,0.0000,0.0000
10000,529035,529889,529462.0000,51705.2734
20000,534549,534151,534350.0000,52182.6172
30000,540396,540056,540226.0000,52756.4453
40000,545549,544650,545099.5000,53232.3750
50000,549695,549220,549457.5000,53657.9609
60000,554495,555759,555127.0000,54211.6211
70000,560267,560151,560209.0000,54707.9102
80000,564400,565427,564913.5000,55167.3359
90000,569887,569756,569821.5000,55646.6328
100000,573700,574745,574222.5000,56076.4141
110000,579814,579534,579674.0000,56608.7891
120000,584347,583746,584046.5000,57035.7891
130000,587952,588275,588113.5000,57432.9609
140000,594318,592476,593397.0000,57948.9258
150000,597389,598631,598010.0000,58399.4141
160000,602629,602390,602509.5000,58838.8203
170000,607040,606450,606745.0000,59252.4414
180000,611872,611045,611458.5000,59712.7422
190000,616311,615494,615902.5000,60146.7266
200000,619797,620477,620137.0000,60560.2539
210000,624661,624250,624455.5000,60981.9844
220000,628195,628578,628386.5000,61365.8672
230000,633252,633507,633379.5000,61853.4688
240000,636483,637915,637199.0000,62226.4648
250000,641087,641693,641390.0000,62635.7422
260000,645502,645530,645516.0000,63038.6719
270000,649528,650038,649783.0000,63455.3711
280000,654037,653441,653739.0000,63841.6992
290000,658090,658082,658086.0000,64266.2109
300000,661607,662011,661809.0000,64629.7852
310000,665304,665366,665335.0000,64974.1211
320000,670088,669641,669864.5000,65416.4531
330000,673412,673213,673312.5000,65753.1719
340000,677611,677920,677765.5000,66188.0391
350000,681461,681641,681551.0000,66557.7188
360000,684505,685038,684771.5000,66872.2188
370000,688305,689102,688703.5000,67256.2031
380000,693044,692896,692970.0000,67672.8516
390000,696534,696405,696469.5000,68014.6016
400000,699977,700230,700103.5000,68369.4844
410000,703010,703600,703305.0000,68682.1250
420000,707387,707472,707429.5000,69084.9141
430000,710414,710657,710535.5000,69388.2344
440000,714536,713739,714137.5000,69739.9922
450000,717981,717393,717687.0000,70086.6250
460000,721326,721116,721221.0000,70431.7344
470000,724248,724717,724482.5000,70750.2422
480000,727942,727500,727721.0000,71066.5000
490000,731207,730965,731086.0000,71395.1172
500000,734526,734272,734399.0000,71718.6562
510000,737660,737036,737348.0000,72006.6406
520000,741080,740878,740979.0000,72361.2344
530000,743958,744247,744102.5000,72666.2578
540000,746969,747311,747140.0000,72962.8906
550000,750663,750400,750531.5000,73294.0938
560000,753377,753424,753400.5000,73574.2656
570000,756626,756687,756656.5000,73892.2344
580000,760026,760093,760059.5000,74224.5625
590000,762977,762704,762840.5000,74496.1406
600000,765790,765233,765511.5000,74756.9844
610000,768732,769061,768896.5000,75087.5469
620000,772038,771693,771865.5000,75377.4922
630000,774280,774686,774483.0000,75633.1094
640000,777459,777869,777664.0000,75943.7500
650000,780593,780293,780443.0000,76215.1406
660000,783304,783424,783364.0000,76500.3906
670000,786038,785893,785965.5000,76754.4453
680000,788510,789018,788764.0000,77027.7344
690000,791686,791896,791791.0000,77323.3438
700000,794309,794481,794395.0000,77577.6406
710000,796711,796813,796762.0000,77808.7891
720000,799671,799443,799557.0000,78081.7344
730000,802413,802353,802383.0000,78357.7188
740000,805319,804870,805094.5000,78622.5078
750000,807319,807310,807314.5000,78839.3047
760000,809657,810281,809969.0000,79098.5312
770000,812788,812731,812759.5000,79371.0469
780000,815628,815292,815460.0000,79634.7656
790000,817843,817232,817537.5000,79837.6484
800000,819981,820482,820231.5000,80100.7344
810000,822729,822508,822618.5000,80333.8359
820000,825057,825132,825094.5000,80575.6328
830000,827602,827435,827518.5000,80812.3516
840000,830056,829650,829853.0000,81040.3281
850000,831865,832217,832041.0000,81254.0000
860000,834827,834553,834690.0000,81512.6953
870000,836722,836722,836722.0000,81711.1328
880000,839334,839357,839345.5000,81967.3359
890000,841858,841220,841539.0000,82181.5469
900000,843743,843712,843727.5000,82395.2656
910000,846217,846029,846123.0000,82629.2031
920000,848040,848098,848069.0000,82819.2344
930000,850435,850166,850300.5000,83037.1562
940000,852218,852517,852367.5000,83239.0156
950000,854777,854674,854725.5000,83469.2891
960000,856728,856644,856686.0000,83660.7422
970000,858744,858806,858775.0000,83864.7500
980000,860805,861252,861028.5000,84084.8125
990000,862654,862987,862820.5000,84259.8125
>>>>
iter,avg. prob., abs. value,abs. improv.,gt 75,gt 50,lt 50,lt 25
1000000,82.5035,885874635,411788,435471,88740,70611
