[INFO] Cantidad de iteraciones 1500000.
[INFO] Number of threads 2.
[INFO] === Initializing Billion GA ====================
[INFO] Problem size    : 8388608
[INFO] Population size : 1024
[INFO] Num. of vectors : 2
[INFO] Delta           : 1
[INFO] Prob. min. value: 1
[INFO] Prob. max. value: 1024
[INFO] Requesting a size 2 prob_vector_size CPU memory
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting CPU memory for sample 0 vectors array
[INFO] > Requesting CPU memory for sample 1 vectors array
[INFO] Requesting samples_fitness CPU memory (size: 2)
[INFO] === Solicitando memoria para el thread 0 =====
[INFO] > Requesting 4194304 bits GPU memory for prob_vector 0 (size: 4194304 / 16 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 0 (size: 131072 / 0 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 0 (size: 131072 / 0 Mb)
iter,f1,f2,avg f1 f2
0,0,0,0.0000,0.0000
[INFO] === Solicitando memoria para el thread 1 =====
[INFO] > Requesting 4194304 bits GPU memory for prob_vector 1 (size: 4194304 / 16 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 1 (size: 131072 / 0 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 1 (size: 131072 / 0 Mb)
iter,f1,f2,avg f1 f2
10000,4207301,4207308,4207304.5000,410869.5938
20000,4226051,4222640,4224345.5000,412533.7500
30000,4237067,4236518,4236792.5000,413749.2812
40000,4251960,4251309,4251634.5000,415198.6875
50000,4268446,4266407,4267426.5000,416740.8750
60000,4279599,4281049,4280324.0000,418000.3750
70000,4294454,4293055,4293754.5000,419311.9688
80000,4308781,4308330,4308555.5000,420757.3750
90000,4323482,4322998,4323240.0000,422191.4062
100000,4336057,4336828,4336442.5000,423480.7188
110000,4350622,4349707,4350164.5000,424820.7500
120000,4366152,4363952,4365052.0000,426274.6250
130000,4378161,4376096,4377128.5000,427453.9688
140000,4390719,4392029,4391374.0000,428845.1250
150000,4403769,4404218,4403993.5000,430077.5000
160000,4415844,4417366,4416605.0000,431309.0938
170000,4430829,4429826,4430327.5000,432649.1562
180000,4444377,4442331,4443354.0000,433921.2812
190000,4456917,4455522,4456219.5000,435177.6875
200000,4468641,4470377,4469509.0000,436475.5000
210000,4480501,4482360,4481430.5000,437639.6875
220000,4494607,4495630,4495118.5000,438976.4062
230000,4508219,4507596,4507907.5000,440225.3438
240000,4522315,4520746,4521530.5000,441555.7188
250000,4531426,4532428,4531927.0000,442571.0000
260000,4546529,4545361,4545945.0000,443939.9375
270000,4557875,4559428,4558651.5000,445180.8125
280000,4572290,4573320,4572805.0000,446563.0000
290000,4583898,4585422,4584660.0000,447720.6875
300000,4598684,4598342,4598513.0000,449073.5312
310000,4608387,4610851,4609619.0000,450158.0938
320000,4622855,4621977,4622416.0000,451407.8125
330000,4634374,4634292,4634333.0000,452571.5938
340000,4644961,4645824,4645392.5000,453651.6250
350000,4659623,4660859,4660241.0000,455101.6562
360000,4671471,4672170,4671820.5000,456232.4688
370000,4684971,4683285,4684128.0000,457434.3750
380000,4695781,4698335,4697058.0000,458697.0625
390000,4707668,4711541,4709604.5000,459922.3125
400000,4721672,4721989,4721830.5000,461116.2500
410000,4734364,4732750,4733557.0000,462261.4375
420000,4746401,4745070,4745735.5000,463450.7188
430000,4757897,4758380,4758138.5000,464661.9688
440000,4769508,4769392,4769450.0000,465766.5938
450000,4783699,4784377,4784038.0000,467191.2188
460000,4794448,4794517,4794482.5000,468211.1875
470000,4807600,4807400,4807500.0000,469482.4375
480000,4818478,4817628,4818053.0000,470513.0000
490000,4832427,4832403,4832415.0000,471915.5312
500000,4844390,4843827,4844108.5000,473057.4688
510000,4856219,4856063,4856141.0000,474232.5312
520000,4866934,4867860,4867397.0000,475331.7500
530000,4879699,4881655,4880677.0000,476628.6250
540000,4891441,4890937,4891189.0000,477655.1875
550000,4903462,4904567,4904014.5000,478907.6562
560000,4914352,4915070,4914711.0000,479952.2500
570000,4927517,4928887,4928202.0000,481269.7188
580000,4938920,4937133,4938026.5000,482229.1562
590000,4951625,4950562,4951093.5000,483505.2188
600000,4962403,4961837,4962120.0000,484582.0312
610000,4974230,4973276,4973753.0000,485718.0625
620000,4985792,4984958,4985375.0000,486853.0312
630000,4996317,4997911,4997114.0000,487999.4062
640000,5009080,5007459,5008269.5000,489088.8125
