INSTANCIA | NT | NM | MAKESPAN | WRR
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_c_hihi.0|512|16|10249174.000000|31827.923828
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_c_hilo.0|512|16|168982.609375|33121.593750
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_c_lohi.0|512|16|337121.437500|32861.160156
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_c_lolo.0|512|16|5658.538574|32321.150391
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_i_hihi.0|512|16|3306819.250000|19836.685547
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_i_hilo.0|512|16|77589.093750|24544.417969
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_i_lohi.0|512|16|114578.914062|19749.224609
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_i_lolo.0|512|16|2639.317871|25704.298828
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_s_hihi.0|512|16|5121953.500000|22684.623047
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_s_hilo.0|512|16|102499.882812|29878.910156
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_s_lohi.0|512|16|150297.109375|23278.341797
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_s_lolo.0|512|16|3846.468262|30558.806641



INSTANCIA | NT | NM | MAKESPAN | WRR
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//A.u_c_hihi|1024|32|30004648.000000|74599.171875
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//A.u_c_hilo|1024|32|2816620.500000|76667.851562
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//A.u_c_lohi|1024|32|2716.029785|75136.187500
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//A.u_c_lolo|1024|32|288.460052|78331.226562
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//A.u_i_hihi|1024|32|5601367.000000|38040.195312
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//A.u_i_hilo|1024|32|533545.187500|37290.902344
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//A.u_i_lohi|1024|32|551.709961|38862.507812
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//A.u_i_lolo|1024|32|55.380005|37605.843750
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//A.u_s_hihi|1024|32|16939632.000000|46905.582031
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//A.u_s_hilo|1024|32|1603158.500000|46162.214844
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//A.u_s_lohi|1024|32|1681.350220|44158.863281
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//A.u_s_lolo|1024|32|167.189972|48982.507812
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//B.u_c_hihi|1024|32|8514663.000000|79344.226562
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//B.u_c_hilo|1024|32|84876.757812|79379.148438
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//B.u_c_lohi|1024|32|296032.875000|79338.367188
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//B.u_c_lolo|1024|32|3105.700195|74806.484375
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//B.u_i_hihi|1024|32|1847652.500000|38875.546875
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//B.u_i_hilo|1024|32|16366.160156|38371.257812
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//B.u_i_lohi|1024|32|55083.160156|37572.960938
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//B.u_i_lolo|1024|32|537.140015|38576.316406
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//B.u_s_hihi|1024|32|4714483.500000|45798.417969
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//B.u_s_hilo|1024|32|50884.257812|41430.824219
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/1024x32.CPrio//B.u_s_lohi|1024|32|155599.859375|45731.324219
