Computed PF file: mls-eval-d100-c20/mls-eval-d100-c20
Num. executions : 20
Min. coverage   : 20.0

Computed PF [count=243]
146.2380 23.0000 9.8000
177.2290 23.8000 11.6000
173.8080 23.6000 11.4000
138.3670 22.0000 9.2000
140.4790 22.2000 9.4000
133.3970 21.2000 9.0000
158.3960 23.4000 10.4000
158.3140 23.4000 10.8000
128.1170 20.2000 8.6000
178.2050 24.0000 11.6000
128.1170 20.2000 8.6000
130.8650 20.8000 8.8000
158.3960 23.4000 10.4000
145.1830 23.0000 9.6000
179.3260 24.0000 11.8000
143.0880 21.6000 9.4000
164.2660 23.8000 10.8000
141.8610 22.2000 9.6000
133.3970 21.2000 9.0000
132.7850 20.6000 8.8000
172.5210 24.0000 12.2000
143.5870 22.0000 9.8000
153.3460 23.0000 10.2000
160.1120 23.2000 10.6000
149.5480 22.2000 10.2000
139.1170 21.2000 9.4000
178.0510 24.0000 11.8000
144.7840 21.8000 9.6000
135.6420 20.8000 9.0000
152.5650 22.8000 10.6000
140.7930 21.6000 9.4000
132.5430 20.2000 9.0000
150.4200 22.6000 10.0000
167.8270 23.4000 11.4000
168.5300 23.8000 11.6000
140.6930 21.6000 9.4000
146.8650 22.4000 10.2000
152.4590 23.2000 10.4000
131.2210 20.8000 8.8000
149.6780 22.8000 10.4000
142.5920 22.0000 9.4000
134.9330 21.0000 9.0000
129.3630 20.2000 9.0000
149.9570 22.6000 10.0000
137.3120 21.2000 9.4000
170.1680 24.0000 11.6000
157.0440 23.4000 10.8000
173.2200 23.6000 11.4000
135.5070 21.4000 9.6000
153.9090 23.0000 10.2000
137.7450 21.2000 9.2000
142.3720 21.8000 10.0000
138.5150 22.0000 9.2000
118.0450 20.2000 7.0000
148.7640 22.8000 9.8000
160.0840 23.2000 10.6000
162.0890 23.6000 10.6000
176.3830 24.0000 11.6000
148.4180 22.2000 9.6000
153.0600 23.0000 10.2000
129.8080 21.4000 8.6000
172.9480 23.8000 11.2000
134.8500 21.2000 9.0000
146.4060 22.2000 9.6000
134.0280 21.0000 9.0000
140.8360 22.0000 9.2000
168.9380 23.8000 11.2000
153.1340 23.0000 10.0000
134.9820 21.4000 9.0000
156.2330 23.4000 10.2000
131.1410 20.4000 8.8000
150.2960 22.6000 9.8000
125.9400 20.2000 8.4000
150.9920 22.8000 10.0000
132.5190 20.8000 8.8000
178.9710 24.0000 11.8000
140.5000 21.8000 9.2000
168.1150 24.0000 11.0000
148.3850 22.2000 9.8000
157.8360 23.2000 10.4000
157.3210 23.4000 10.8000
164.2660 23.8000 10.8000
148.7050 22.8000 9.8000
138.5260 22.0000 9.2000
151.9620 23.0000 10.0000
129.8550 21.4000 8.6000
127.9240 20.2000 8.6000
133.7330 21.6000 9.0000
148.9990 22.4000 9.8000
133.3970 21.2000 9.0000
133.1390 20.8000 8.8000
156.3030 23.4000 10.8000
153.0590 23.0000 10.2000
140.9180 21.8000 9.2000
132.7850 20.6000 8.8000
141.8830 22.2000 9.6000
178.6750 24.0000 11.8000
