[INFO] Cantidad de iteraciones 1000000.
[INFO] Number of threads 1.
[INFO] === Initializing Billion GA ====================
[INFO] Problem size    : 1048576
[INFO] Population size : 1024
[INFO] Num. of vectors : 1
[INFO] Delta           : 1
[INFO] Prob. min. value: 1
[INFO] Prob. max. value: 1024
[INFO] Requesting a size 1 prob_vector_size CPU memory
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting CPU memory for sample 0 vectors array
[INFO] > Requesting CPU memory for sample 1 vectors array
[INFO] Requesting samples_fitness CPU memory (size: 2)
[INFO] === Solicitando memoria para el thread 0 =====
[INFO] > Requesting 1048576 bits GPU memory for prob_vector 0 (size: 1048576 / 4 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 0 (size: 32768 / 0 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 0 (size: 32768 / 0 Mb)
iter,f1,f2,avg f1 f2
0,0,0,0.0000,0.0000
10000,530016,529804,529910.0000,51749.0234
20000,534971,534869,534920.0000,52238.2812
30000,538722,539910,539316.0000,52667.5781
40000,545281,545201,545241.0000,53246.1914
50000,550482,549851,550166.5000,53727.1953
60000,554712,555331,555021.5000,54201.3203
70000,559266,560034,559650.0000,54653.3203
80000,565787,564757,565272.0000,55202.3438
90000,569880,569875,569877.5000,55652.1016
100000,574203,574283,574243.0000,56078.4180
110000,579354,578302,578828.0000,56526.1719
120000,583473,584297,583885.0000,57020.0195
130000,588487,588394,588440.5000,57464.8906
140000,593488,592897,593192.5000,57928.9531
150000,597463,596797,597130.0000,58313.4766
160000,602219,602381,602300.0000,58818.3594
170000,606731,606592,606661.5000,59244.2891
180000,612180,610938,611559.0000,59722.5586
190000,615716,615728,615722.0000,60129.1016
200000,620440,621099,620769.5000,60622.0234
210000,623917,624243,624080.0000,60945.3125
220000,628713,628743,628728.0000,61399.2188
230000,633179,632426,632802.5000,61797.1172
240000,637299,637077,637188.0000,62225.3906
250000,641551,642056,641803.5000,62676.1250
260000,644971,645401,645186.0000,63006.4453
270000,649357,648892,649124.5000,63391.0625
280000,653168,653702,653435.0000,63812.0117
290000,657409,657927,657668.0000,64225.3906
300000,661743,662249,661996.0000,64648.0469
310000,665940,664866,665403.0000,64980.7617
320000,669190,670051,669620.5000,65392.6250
330000,673827,673650,673738.5000,65794.7734
340000,676819,677544,677181.5000,66131.0078
350000,681544,681700,681622.0000,66564.6484
360000,685953,685390,685671.5000,66960.1094
370000,688840,688712,688776.0000,67263.2812
380000,692847,692343,692595.0000,67636.2344
390000,696529,696831,696680.0000,68035.1562
400000,700237,699463,699850.0000,68344.7266
410000,703579,703094,703336.5000,68685.2031
420000,707433,707324,707378.5000,69079.9297
430000,710500,710620,710560.0000,69390.6250
440000,713723,713827,713775.0000,69704.5938
450000,717414,717561,717487.5000,70067.1406
460000,720353,720812,720582.5000,70369.3828
470000,724285,723981,724133.0000,70716.1094
480000,727637,727897,727767.0000,71071.0000
490000,730762,730782,730772.0000,71364.4531
500000,734297,734451,734374.0000,71716.2109
510000,737705,737501,737603.0000,72031.5469
520000,740937,741219,741078.0000,72370.8984
530000,744308,744159,744233.5000,72679.0547
540000,746908,747052,746980.0000,72947.2656
550000,750104,750163,750133.5000,73255.2266
560000,753818,753707,753762.5000,73609.6172
570000,756790,756356,756573.0000,73884.0781
580000,759452,759304,759378.0000,74158.0078
590000,762480,762505,762492.5000,74462.1562
600000,765461,765432,765446.5000,74750.6328
610000,768384,768571,768477.5000,75046.6328
620000,771855,771651,771753.0000,75366.5000
630000,774553,774593,774573.0000,75641.8906
640000,777514,777476,777495.0000,75927.2500
650000,780175,780249,780212.0000,76192.5781
660000,783235,783236,783235.5000,76487.8438
670000,785559,785848,785703.5000,76728.8594
680000,788807,788914,788860.5000,77037.1562
690000,791534,790925,791229.5000,77268.5078
700000,793717,794253,793985.0000,77537.5938
710000,796973,797334,797153.5000,77847.0234
720000,799477,799397,799437.0000,78070.0156
730000,802302,802046,802174.0000,78337.3047
740000,804764,805101,804932.5000,78606.6875
750000,807120,807009,807064.5000,78814.8906
760000,809739,809844,809791.5000,79081.2031
770000,812616,812528,812572.0000,79352.7344
780000,815160,814859,815009.5000,79590.7734
790000,817347,817707,817527.0000,79836.6250
800000,820172,819610,819891.0000,80067.4844
810000,822117,822037,822077.0000,80280.9531
820000,824765,824898,824831.5000,80549.9531
830000,827243,827094,827168.5000,80778.1719
840000,829462,829571,829516.5000,81007.4688
850000,831713,831968,831840.5000,81234.4219
860000,834569,834385,834477.0000,81491.8906
870000,836795,836501,836648.0000,81703.9062
880000,838568,838881,838724.5000,81906.6875
890000,841158,841098,841128.0000,82141.4062
900000,843474,843426,843450.0000,82368.1641
910000,845258,845505,845381.5000,82556.7891
920000,847949,847512,847730.5000,82786.1797
930000,849778,850176,849977.0000,83005.5625
940000,852197,851914,852055.5000,83208.5469
950000,854477,854402,854439.5000,83441.3594
960000,856562,856625,856593.5000,83651.7109
970000,858530,858407,858468.5000,83834.8125
980000,860578,860693,860635.5000,84046.4375
990000,863034,862673,862853.5000,84263.0391
>>>>
iter,avg. prob., abs. value,abs. improv.,gt 75,gt 50,lt 50,lt 25
1000000,82.4715,885530757,823111,870245,178196,141314
