[INFO] Cantidad de iteraciones 1000000.
[INFO] Number of threads 2.
[INFO] === Initializing Billion GA ====================
[INFO] Problem size    : 33554432
[INFO] Population size : 1024
[INFO] Num. of vectors : 2
[INFO] Delta           : 1
[INFO] Prob. min. value: 1
[INFO] Prob. max. value: 1024
[INFO] Requesting a size 2 prob_vector_size CPU memory
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting CPU memory for sample 0 vectors array
[INFO] > Requesting CPU memory for sample 1 vectors array
[INFO] Requesting samples_fitness CPU memory (size: 2)
[INFO] === Solicitando memoria para el thread 0 =====
[INFO] > Requesting 16777216 bits GPU memory for prob_vector 0 (size: 16777216 / 64 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 0 (size: 524288 / 2 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 0 (size: 524288 / 2 Mb)
iter,f1,f2,avg f1 f2
0,0,0,0.0000,0.0000
[INFO] === Solicitando memoria para el thread 1 =====
[INFO] > Requesting 16777216 bits GPU memory for prob_vector 1 (size: 16777216 / 64 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 1 (size: 524288 / 2 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 1 (size: 524288 / 2 Mb)
iter,f1,f2,avg f1 f2
10000,16800104,16807183,16803644.0000,1640980.8750
20000,16833527,16836044,16834786.0000,1644022.1250
30000,16866573,16865615,16866094.0000,1647079.5000
40000,16891569,16890979,16891274.0000,1649538.5000
50000,16922288,16922754,16922520.0000,1652589.8750
60000,16948679,16947357,16948018.0000,1655079.8750
70000,16972859,16981941,16977400.0000,1657949.2500
80000,17005393,17006920,17006156.0000,1660757.3750
90000,17032435,17033140,17032788.0000,1663358.2500
100000,17057678,17061342,17059510.0000,1665967.7500
110000,17092156,17085284,17088720.0000,1668820.2500
120000,17116686,17121842,17119264.0000,1671803.1250
130000,17143138,17143863,17143500.0000,1674169.8750
140000,17170049,17175727,17172888.0000,1677039.8750
150000,17197469,17199616,17198542.0000,1679545.1250
160000,17224619,17223024,17223822.0000,1682013.8750
170000,17247523,17250925,17249224.0000,1684494.5000
180000,17282380,17278653,17280516.0000,1687550.3750
190000,17307305,17304642,17305974.0000,1690036.5000
200000,17331088,17334843,17332966.0000,1692672.5000
210000,17362025,17361261,17361644.0000,1695473.0000
220000,17385635,17387464,17386550.0000,1697905.2500
230000,17411244,17413303,17412274.0000,1700417.3750
240000,17443877,17442352,17443114.0000,1703429.1250
250000,17469873,17472814,17471344.0000,1706186.0000
260000,17499721,17495088,17497404.0000,1708730.8750
270000,17528217,17526473,17527344.0000,1711654.7500
280000,17557380,17559984,17558682.0000,1714715.0000
290000,17588153,17587614,17587884.0000,1717566.7500
300000,17611711,17616658,17614184.0000,1720135.1250
310000,17640729,17644642,17642686.0000,1722918.5000
320000,17671086,17673345,17672216.0000,1725802.3750
330000,17700268,17699495,17699882.0000,1728504.1250
340000,17732066,17725826,17728946.0000,1731342.3750
350000,17761113,17757753,17759432.0000,1734319.5000
360000,17786830,17788640,17787736.0000,1737083.6250
370000,17820913,17818987,17819950.0000,1740229.5000
380000,17846277,17848797,17847536.0000,1742923.5000
390000,17881563,17877255,17879408.0000,1746036.0000
400000,17908748,17905577,17907162.0000,1748746.2500
410000,17937937,17936480,17937208.0000,1751680.5000
420000,17966164,17970080,17968122.0000,1754699.3750
430000,17996730,17997429,17997080.0000,1757527.3750
440000,18027380,18031090,18029236.0000,1760667.6250
450000,18063239,18059028,18061134.0000,1763782.6250
460000,18089427,18092009,18090718.0000,1766671.6250
470000,18122456,18122588,18122522.0000,1769777.5000
480000,18150131,18151123,18150628.0000,1772522.2500
490000,18181325,18184661,18182992.0000,1775682.7500
500000,18213384,18211321,18212352.0000,1778550.0000
510000,18241605,18242892,18242248.0000,1781469.5000
520000,18272727,18272617,18272672.0000,1784440.6250
530000,18304262,18305759,18305010.0000,1787598.6250
540000,18338349,18338766,18338558.0000,1790874.7500
550000,18370663,18368015,18369340.0000,1793880.8750
560000,18397965,18398358,18398162.0000,1796695.5000
570000,18431348,18432086,18431716.0000,1799972.2500
580000,18459615,18458837,18459226.0000,1802658.7500
590000,18495060,18494018,18494540.0000,1806107.3750
600000,18521940,18520571,18521256.0000,1808716.3750
610000,18556741,18554758,18555750.0000,1812085.0000
