[INFO] Cantidad de iteraciones 3000000.
[INFO] Number of threads 2.
[INFO] === Initializing Billion GA ====================
[INFO] Problem size    : 33554432
[INFO] Population size : 1024
[INFO] Num. of vectors : 2
[INFO] Delta           : 1
[INFO] Prob. min. value: 1
[INFO] Prob. max. value: 1024
[INFO] Requesting a size 2 prob_vector_size CPU memory
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting CPU memory for sample 0 vectors array
[INFO] > Requesting CPU memory for sample 1 vectors array
[INFO] Requesting samples_fitness CPU memory (size: 2)
[INFO] === Solicitando memoria para el thread 0 =====
[INFO] > Requesting 16777216 bits GPU memory for prob_vector 0 (size: 16777216 / 64 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 0 (size: 524288 / 2 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 0 (size: 524288 / 2 Mb)
iter,f1,f2,avg f1 f2,time
0,0,0,0.0000,0.0000,7398.795942
[INFO] === Solicitando memoria para el thread 1 =====
[INFO] > Requesting 16777216 bits GPU memory for prob_vector 1 (size: 16777216 / 64 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 1 (size: 524288 / 2 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 1 (size: 524288 / 2 Mb)
iter,f1,f2,avg f1 f2,time
10000,8406271,8411145,8408708.0000,25.0599,171475.930704
20000,8429665,8431695,8430680.0000,25.1254,335494.739492
30000,8452945,8447988,8450466.0000,25.1844,499535.771583
40000,8474270,8469471,8471870.0000,25.2481,663603.305499
50000,8489934,8492310,8491122.0000,25.3055,827667.646533
60000,8510516,8513025,8511770.0000,25.3671,991684.994837
70000,8529351,8531728,8530540.0000,25.4230,1155739.315115
80000,8551716,8551572,8551644.0000,25.4859,1320051.148939
90000,8568847,8572426,8570636.0000,25.5425,1484632.574908
100000,8591276,8589100,8590188.0000,25.6008,1649208.856641
110000,8610029,8608627,8609328.0000,25.6578,1813817.558446
120000,8629583,8631176,8630380.0000,25.7205,1978444.657585
130000,8646784,8646067,8646426.0000,25.7684,2143148.920898
140000,8667139,8666997,8667068.0000,25.8299,2307845.052863
150000,8683506,8686678,8685092.0000,25.8836,2472447.874344
160000,8702208,8705238,8703723.0000,25.9391,2636806.526482
170000,8722291,8723738,8723014.0000,25.9966,2801201.692202
180000,8740028,8740388,8740208.0000,26.0478,2965617.751260
190000,8763823,8760237,8762030.0000,26.1129,3130015.937346
200000,8779509,8781502,8780506.0000,26.1679,3294382.502223
210000,8799010,8796807,8797908.0000,26.2198,3458762.821986
220000,8816407,8815935,8816171.0000,26.2742,3623829.143843
230000,8835471,8832302,8833886.0000,26.3270,3788226.610688
240000,8855192,8854594,8854893.0000,26.3896,3952621.130215
250000,8874765,8875541,8875153.0000,26.4500,4117025.058120
260000,8892037,8889194,8890616.0000,26.4961,4281392.237273
270000,8909782,8912682,8911232.0000,26.5575,4445784.869470
280000,8928631,8928468,8928550.0000,26.6092,4610185.981901
290000,8948321,8947347,8947834.0000,26.6666,4774563.199046
300000,8967275,8967849,8967562.0000,26.7254,4938945.479369
310000,8987710,8986151,8986930.0000,26.7831,5103314.098435
320000,9003124,9007140,9005132.0000,26.8374,5267666.793022
330000,9023529,9023129,9023329.0000,26.8916,5431995.762847
340000,9044850,9039633,9042242.0000,26.9480,5596329.619092
350000,9062998,9064962,9063980.0000,27.0128,5760684.135447
360000,9079168,9080699,9079934.0000,27.0603,5925064.130957
370000,9101364,9099476,9100420.0000,27.1214,6089444.275607
380000,9120214,9118304,9119259.0000,27.1775,6253824.132793
390000,9141449,9135252,9138350.0000,27.2344,6418211.701296
400000,9156506,9156548,9156527.0000,27.2886,6582614.963374
410000,9176200,9176564,9176382.0000,27.3477,6746956.959207
420000,9196634,9193892,9195263.0000,27.4040,6911294.404627
430000,9210532,9215436,9212984.0000,27.4568,7075608.132843
440000,9234899,9235308,9235104.0000,27.5228,7240573.227633
450000,9251430,9253015,9252222.0000,27.5738,7404885.038520
460000,9272362,9271753,9272058.0000,27.6329,7569172.556143
470000,9290280,9291602,9290941.0000,27.6892,7733457.968723
480000,9308387,9310167,9309277.0000,27.7438,7897753.358839
490000,9328337,9330312,9329324.0000,27.8036,8062075.975610
500000,9347005,9347884,9347444.0000,27.8576,8226376.607998
510000,9366062,9365704,9365883.0000,27.9125,8390696.205916
520000,9384984,9385780,9385382.0000,27.9706,8555023.631799
530000,9404936,9403234,9404085.0000,28.0264,8719363.228305
540000,9421278,9426046,9423662.0000,28.0847,8883693.908350
550000,9441308,9443759,9442534.0000,28.1409,9047983.046598
560000,9460431,9461069,9460750.0000,28.1952,9212275.614567
570000,9480524,9480418,9480471.0000,28.2540,9376568.062188
580000,9498153,9497417,9497785.0000,28.3056,9540871.746716
590000,9517026,9519561,9518294.0000,28.3667,9705159.122050
600000,9535948,9534891,9535420.0000,28.4178,9869476.561271
610000,9554178,9556119,9555148.0000,28.4766,10033811.661545
620000,9573360,9574529,9573944.0000,28.5326,10198145.328300
630000,9592016,9595054,9593535.0000,28.5910,10362482.011452
640000,9612923,9610788,9611856.0000,28.6456,10526805.682720
650000,9627918,9630258,9629088.0000,28.6969,10691092.757999
660000,9648723,9650861,9649792.0000,28.7586,10856077.031225
670000,9667925,9668386,9668156.0000,28.8134,11020383.654875
680000,9686102,9686454,9686278.0000,28.8674,11184674.933472
690000,9705075,9705571,9705323.0000,28.9241,11348958.481907
700000,9722900,9723371,9723136.0000,28.9772,11513242.247460
710000,9743238,9739621,9741430.0000,29.0317,11677530.957559
720000,9761610,9759660,9760635.0000,29.0890,11841818.571139
730000,9781124,9776813,9778968.0000,29.1436,12006111.074993
740000,9795648,9797291,9796470.0000,29.1958,12170403.274550
750000,9816307,9814735,9815521.0000,29.2525,12334723.836542
760000,9831962,9834663,9833312.0000,29.3056,12499050.574367
770000,9851010,9852116,9851563.0000,29.3599,12663372.978072
780000,9870937,9870001,9870469.0000,29.4163,12827698.699412
790000,9887319,9888362,9887840.0000,29.4681,12991989.278364
800000,9905257,9906555,9905906.0000,29.5219,13156325.602346
810000,9924452,9923654,9924053.0000,29.5760,13320663.887182
820000,9942467,9940709,9941588.0000,29.6282,13485001.321376
830000,9959297,9961011,9960154.0000,29.6836,13649340.081611
840000,9977538,9977564,9977551.0000,29.7354,13813681.117638
850000,9996009,9997333,9996671.0000,29.7924,13978023.927310
860000,10016566,10014346,10015456.0000,29.8484,14142360.843870
870000,10032400,10033541,10032970.0000,29.9006,14306665.945360
880000,10048964,10049724,10049344.0000,29.9494,14471653.528148
890000,10069859,10068860,10069360.0000,30.0090,14635996.521429
900000,10086489,10085365,10085927.0000,30.0584,14800286.232259
910000,10104531,10103223,10103877.0000,30.1119,14964583.360285
920000,10119776,10123176,10121476.0000,30.1643,15128929.749936
930000,10140248,10140078,10140163.0000,30.2200,15293244.291641
940000,10157479,10155950,10156714.0000,30.2694,15457551.599478
950000,10173452,10173006,10173229.0000,30.3186,15621847.323747
960000,10192627,10190885,10191756.0000,30.3738,15786186.494719
970000,10208128,10208231,10208180.0000,30.4227,15950511.088465
980000,10226190,10226946,10226568.0000,30.4775,16114809.654471
990000,10244528,10245185,10244856.0000,30.5321,16279148.875006
1000000,10263863,10262911,10263387.0000,30.5873,16443486.767901
1010000,10278638,10279312,10278975.0000,30.6337,16607788.687436
1020000,10298570,10296721,10297646.0000,30.6894,16772127.331285
1030000,10314714,10313785,10314250.0000,30.7389,16936448.760453
1040000,10331155,10329954,10330554.0000,30.7875,17100762.093910
1050000,10348809,10348221,10348515.0000,30.8410,17265101.296090
1060000,10365763,10364075,10364919.0000,30.8899,17429439.102467
1070000,10384164,10382886,10383525.0000,30.9453,17593779.991698
1080000,10398576,10399568,10399072.0000,30.9916,17758117.687336
1090000,10416558,10416246,10416402.0000,31.0433,17922456.322728
1100000,10432974,10434946,10433960.0000,31.0956,18087436.616289
1110000,10452875,10451434,10452154.0000,31.1498,18251764.479898
1120000,10467493,10467821,10467657.0000,31.1960,18416086.336900
1130000,10484827,10485994,10485410.0000,31.2490,18580409.343426
1140000,10500712,10501414,10501063.0000,31.2956,18744730.461762
1150000,10516934,10517442,10517188.0000,31.3437,18909050.765989
1160000,10536106,10534077,10535092.0000,31.3970,19073381.850349
1170000,10551384,10550835,10551110.0000,31.4448,19237701.016729
1180000,10569676,10568254,10568965.0000,31.4980,19402007.893430
1190000,10584978,10583738,10584358.0000,31.5438,19566313.812921
1200000,10600698,10600142,10600420.0000,31.5917,19730617.636496
1210000,10617792,10618069,10617930.0000,31.6439,19894924.432686
1220000,10634655,10632699,10633677.0000,31.6908,20059231.964105
1230000,10650613,10650532,10650572.0000,31.7412,20223533.994273
1240000,10667707,10666827,10667267.0000,31.7909,20387838.359967
1250000,10685002,10683284,10684143.0000,31.8412,20552146.346212
1260000,10700573,10698152,10699362.0000,31.8866,20716454.864856
1270000,10715921,10716209,10716065.0000,31.9364,20880758.200195
1280000,10732022,10732719,10732370.0000,31.9850,21045063.231104
1290000,10750002,10747958,10748980.0000,32.0345,21209369.584862
1300000,10764984,10765373,10765178.0000,32.0827,21373676.419770
1310000,10779918,10781058,10780488.0000,32.1284,21537983.108704
1320000,10795890,10797100,10796495.0000,32.1761,21702938.264309
1330000,10813978,10813165,10813572.0000,32.2270,21867243.541161
1340000,10830520,10829344,10829932.0000,32.2757,22031550.333178
1350000,10846117,10845843,10845980.0000,32.3235,22195855.829545
1360000,10860600,10860445,10860522.0000,32.3669,22360163.766715
1370000,10878633,10876721,10877677.0000,32.4180,22524469.987947
1380000,10894404,10893710,10894057.0000,32.4668,22688778.724797
1390000,10908992,10908684,10908838.0000,32.5109,22853082.811757
1400000,10925581,10924351,10924966.0000,32.5589,23017391.288940
1410000,10941676,10941181,10941428.0000,32.6080,23181700.479749
1420000,10956601,10957493,10957047.0000,32.6545,23346006.135047
1430000,10972932,10971830,10972381.0000,32.7002,23510311.659354
1440000,10987960,10987291,10987626.0000,32.7457,23674619.693594
1450000,11003136,11003247,11003192.0000,32.7921,23838926.430894
1460000,11020452,11020269,11020360.0000,32.8432,24003235.488455
1470000,11035004,11034876,11034940.0000,32.8867,24167541.486251
1480000,11050562,11051328,11050945.0000,32.9344,24331845.377283
1490000,11066441,11065491,11065966.0000,32.9791,24496152.381016
1500000,11082270,11082506,11082388.0000,33.0281,24660459.115675
1510000,11096215,11098067,11097141.0000,33.0721,24824762.769041
