INSTANCIA | NT | NM | MAKESPAN | WRR
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_c_hihi.0|512|16|8460674.000000|46084.613281
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_c_hilo.0|512|16|161805.421875|36170.917969
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_c_lohi.0|512|16|275837.343750|48269.503906
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_c_lolo.0|512|16|5441.426758|36057.878906
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_i_hihi.0|512|16|3513919.250000|17862.058594
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_i_hilo.0|512|16|80755.679688|23502.628906
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_i_lohi.0|512|16|120517.710938|17630.662109
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_i_lolo.0|512|16|2785.645264|24238.857422
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_s_hihi.0|512|16|5160343.000000|25884.005859
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_s_hilo.0|512|16|104375.171875|27566.525391
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_s_lohi.0|512|16|140284.500000|26006.546875
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/Braun_et_al.CPrio//u_s_lolo.0|512|16|3806.827637|27608.095703



INSTANCIA | NT | NM | MAKESPAN | WRR
